# Truth table
# Generated from circuit bin_to_dec
# Exported on Fri Mar 27 10:53:46 CET 2026

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a ‘#’ is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * ‘Name[N..0]’ indicates an N+1 bit variable, whereas
#   ‘Name’ by itself indicates a 1-bit variable.
# * You can use ‘x’ or ‘-’ to indicate “don’t care” for both
#   input and output bits.
# * You can use binary (e.g., ‘10100011xxxx’) notation or
#   or hex (e.g., ‘C3x’). Logisim will figure out which is which.

bin[7..0] | dec1[3..0] dec10[3..0] dec100[3..0]
01001101  |    0111       0111         0000    
01001110  |    1000       0111         0000    
01001111  |    1001       0111         0000    
01010000  |    0000       1000         0000    
01010001  |    0001       1000         0000    
01010010  |    0010       1000         0000    
01010011  |    0011       1000         0000    
01010100  |    0100       1000         0000    
01010101  |    0101       1000         0000    
01010110  |    0110       1000         0000    
01010111  |    0111       1000         0000    
01011000  |    1000       1000         0000    
01011001  |    1001       1000         0000    
01011010  |    0000       1001         0000    
01011011  |    0001       1001         0000    
01011100  |    0010       1001         0000    
01011101  |    0011       1001         0000    
01011110  |    0100       1001         0000    
01011111  |    0101       1001         0000    
01100000  |    0110       1001         0000    
01100001  |    0111       1001         0000    
01100010  |    1000       1001         0000    
01100011  |    1001       1001         0000    
01100100  |    0000       0000         0001    
01100101  |    0001       0000         0001    
01100110  |    0010       0000         0001    
01100111  |    0011       0000         0001    
01101000  |    0100       0000         0001    
01101001  |    0101       0000         0001    
01101010  |    0110       0000         0001    
01101011  |    0111       0000         0001    
01101100  |    1000       0000         0001    
01101101  |    1001       0000         0001    
01101110  |    0000       0001         0001    
01101111  |    0001       0001         0001    
01110000  |    0010       0001         0001    
01110001  |    0011       0001         0001    
01110010  |    0100       0001         0001    
01110011  |    0101       0001         0001    
01110100  |    0110       0001         0001    
01110101  |    0111       0001         0001    
01110110  |    1000       0001         0001    
01110111  |    1001       0001         0001    
01111000  |    0000       0010         0001    
01111001  |    0001       0010         0001    
01111010  |    0010       0010         0001    
01111011  |    0011       0010         0001    
01111100  |    0100       0010         0001    
01111101  |    0101       0010         0001    
01111110  |    0110       0010         0001    
01111111  |    0111       0010         0001    
10000000  |    1000       0010         0001    
10000001  |    1001       0010         0001    
10000010  |    0000       0011         0001    
10000011  |    0001       0011         0001    
10000100  |    0010       0011         0001    
10000101  |    0011       0011         0001    
10000110  |    0100       0011         0001    
10000111  |    0101       0011         0001    
10001000  |    0110       0011         0001    
10001001  |    0111       0011         0001    
10001010  |    1000       0011         0001    
10001011  |    1001       0011         0001    
10001100  |    0000       0100         0001    
10001101  |    0001       0100         0001    
10001110  |    0010       0100         0001    
10001111  |    0011       0100         0001    
10010000  |    0100       0100         0001    
10010001  |    0101       0100         0001    
10010010  |    0110       0100         0001    
10010011  |    0111       0100         0001    
10010100  |    1000       0100         0001    
10010101  |    1001       0100         0001    
10010110  |    0000       0101         0001    
10010111  |    0001       0101         0001    
10011000  |    0010       0101         0001    
10011001  |    0011       0101         0001    
10011010  |    0100       0101         0001    
10011011  |    0101       0101         0001    
10011100  |    0110       0101         0001    
10011101  |    0111       0101         0001    
10011110  |    1000       0101         0001    
10011111  |    1001       0101         0001    
10100000  |    0000       0110         0001    
10100001  |    0001       0110         0001    
10100010  |    0010       0110         0001    
10100011  |    0011       0110         0001    
10100100  |    0100       0110         0001    
10100101  |    0101       0110         0001    
10100110  |    0110       0110         0001    
10100111  |    0111       0110         0001    
10101000  |    1000       0110         0001    
10101001  |    1001       0110         0001    
10101010  |    0000       0111         0001    
10101011  |    0001       0111         0001    
10101100  |    0010       0111         0001    
10101101  |    0011       0111         0001    
10101110  |    0100       0111         0001    
10101111  |    0101       0111         0001    
10110000  |    0110       0111         0001    
10110001  |    0111       0111         0001    
10110010  |    1000       0111         0001    
10110011  |    1001       0111         0001    
10110100  |    0000       1000         0001    
10110101  |    0001       1000         0001    
10110110  |    0010       1000         0001    
10110111  |    0011       1000         0001    
10111000  |    0100       1000         0001    
10111001  |    0101       1000         0001    
10111010  |    0110       1000         0001    
10111011  |    0111       1000         0001    
10111100  |    1000       1000         0001    
10111101  |    1001       1000         0001    
10111110  |    0000       1001         0001    
10111111  |    0001       1001         0001    
11000000  |    0010       1001         0001    
11000001  |    0011       1001         0001    
11000010  |    0100       1001         0001    
11000011  |    0101       1001         0001    
11000100  |    0110       1001         0001    
11000101  |    0111       1001         0001    
11000110  |    1000       1001         0001    
11000111  |    1001       1001         0001    
11001000  |    0000       0000         0010    
11001001  |    0001       0000         0010    
11001010  |    0010       0000         0010    
11001011  |    0011       0000         0010    
11001100  |    0100       0000         0010    
11001101  |    0101       0000         0010    
11001110  |    0110       0000         0010    
11001111  |    0111       0000         0010    
11010000  |    1000       0000         0010    
11010001  |    1001       0000         0010    
11010010  |    0000       0001         0010    
11010011  |    0001       0001         0010    
11010100  |    0010       0001         0010    
11010101  |    0011       0001         0010    
11010110  |    0100       0001         0010    
11010111  |    0101       0001         0010    
11011000  |    0110       0001         0010    
11011001  |    0111       0001         0010    
11011010  |    1000       0001         0010    
11011011  |    1001       0001         0010    
11011100  |    0000       0010         0010    
11011101  |    0001       0010         0010    
11011110  |    0010       0010         0010    
11011111  |    0011       0010         0010    
11100000  |    0100       0010         0010    
11100001  |    0101       0010         0010    
11100010  |    0110       0010         0010    
11100011  |    0111       0010         0010    
11100100  |    1000       0010         0010    
11100101  |    1001       0010         0010    
11100110  |    0000       0011         0010    
11100111  |    0001       0011         0010    
11101000  |    0010       0011         0010    
11101001  |    0011       0011         0010    
11101010  |    0100       0011         0010    
11101011  |    0101       0011         0010    
11101100  |    0110       0011         0010    
11101101  |    0111       0011         0010    
11101110  |    1000       0011         0010    
11101111  |    1001       0011         0010    
11110000  |    0000       0100         0010    
11110001  |    0001       0100         0010    
11110010  |    0010       0100         0010    
11110011  |    0011       0100         0010    
11110100  |    0100       0100         0010    
11110101  |    0101       0100         0010    
11110110  |    0110       0100         0010    
11110111  |    0111       0100         0010    
11111000  |    1000       0100         0010    
11111001  |    1001       0100         0010    
11111010  |    0000       0101         0010    
11111011  |    0001       0101         0010    
11111100  |    0010       0101         0010    
11111101  |    0011       0101         0010    
11111110  |    0100       0101         0010    
11111111  |    0101       0101         0010
